pos,jobless,purchase_item,female,unmarried,age,deposit,monthly_payment,months_until_payback,years_at_work
1,0,medinstru,1,1,0,27,50,50,20,5
1,0,medinstru,0,0,0,40,50,50,20,5
0,0,medinstru,1,1,0,37,200,40,20,25
1,0,jewel,1,1,0,40,30,2,10,0
1,0,jewel,0,1,0,27,15,2,12,10
1,0,jewel,0,0,0,55,50,3,10,2
0,1,jewel,1,0,0,60,5,10,10,1
1,0,jewel,1,1,0,45,20,20,10,13
0,0,jewel,1,1,0,20,20,10,10,2
0,0,jewel,0,1,0,18,10,7,12,2
1,0,jewel,0,0,0,35,20,10,10,1
1,0,jewel,0,1,0,35,10,10,10,1
0,0,jewel,0,1,1,35,10,10,10,5
1,0,bike,0,1,0,18,15,1,10,2
0,0,bike,0,1,0,18,10,5,10,5
1,0,bike,0,1,0,22,20,5,10,1
0,0,bike,0,1,0,22,10,5,10,1
1,0,bike,0,0,0,25,10,5,10,5
0,0,bike,1,0,0,18,10,2,10,2
0,0,bike,1,0,0,18,10,5,10,5
0,0,bike,1,0,0,22,20,5,10,20
0,0,bike,1,1,0,22,10,5,10,20
0,1,bike,1,0,0,25,10,5,10,3
1,0,furniture,1,0,0,40,50,5,20,13
1,0,furniture,1,0,0,50,100,10,12,2
1,0,furniture,1,1,0,30,50,5,20,20
1,0,furniture,1,0,0,35,20,10,15,20
0,0,furniture,1,0,0,25,30,7,20,10
1,0,furniture,0,0,0,40,60,5,20,13
1,0,furniture,0,0,0,50,90,10,12,1
