

LISTE DER VARIABLEN IN ALLBUS 2016 (ZA5250)


Variable       Position Label
ms09           141      MOECHTE IN WOHNGEBIET 9 LEBEN
ms10           142      MOECHTE IN WOHNGEBIET 10 LEBEN
ms11           143      MOECHTE IN WOHNGEBIET 11 LEBEN
ms12           144      MOECHTE IN WOHNGEBIET 12 LEBEN
ms13           145      MOECHTE IN WOHNGEBIET 13 LEBEN
ms14           146      MOECHTE NICHT IN WOHNGEBIET 1 LEBEN
ms15           147      MOECHTE NICHT IN WOHNGEBIET 2 LEBEN
ms16           148      MOECHTE NICHT IN WOHNGEBIET 3 LEBEN
ms17           149      MOECHTE NICHT IN WOHNGEBIET 4 LEBEN
ms18           150      MOECHTE NICHT IN WOHNGEBIET 5 LEBEN
ms19           151      MOECHTE NICHT IN WOHNGEBIET 6 LEBEN
ms20           152      MOECHTE NICHT IN WOHNGEBIET 7 LEBEN
ms21           153      MOECHTE NICHT IN WOHNGEBIET 8 LEBEN
ms22           154      MOECHTE NICHT IN WOHNGEBIET 9 LEBEN
ms23           155      MOECHTE NICHT IN WOHNGEBIET 10 LEBEN
ms24           156      MOECHTE NICHT IN WOHNGEBIET 11 LEBEN
ms25           157      MOECHTE NICHT IN WOHNGEBIET 12 LEBEN
ms26           158      MOECHTE NICHT IN WOHNGEBIET 13 LEBEN
mp15a          159      AUSLAENDERANTEIL IN EIGENER WOHNUMGEBUNG
mp15b          160      AUSLAENDERANTEIL WOHNUMGEBUNG, PROZENT
pa02a          161      POLITISCHES INTERESSE, BEFR. <ORDINAL>
va01           162      WICHTIGKEIT VON RUHE UND ORDNUNG
va02           163      WICHTIGKEIT VON BUERGEREINFLUSS
va03           164      WICHTIGKEIT DER INFLATIONSBEKAEMPFUNG
va04           165      WICHTIGKEIT V. FREIER MEINUNGSAEUSSERUNG
ingle          166      INGLEHART-INDEX
pa01           167      LINKS-RECHTS-SELBSTEINSTUFUNG, BEFR.
ma12           168      BESSER, WENN ALLE MENSCHEN EINE KULTUR
ma13           169      KULTURELLE VIELFALT MACHT ZUKUNFTSFAEHIG
mg01           170      LEBENSSTILUNTERSCHIED: ITALIENER IN BRD
mg02           171      LEBENSSTILUNTERSCHIED: AUSSIEDLER IN BRD
mg03           172      LEBENSSTILUNTERSCHIED: ASYLBEWERB. I.BRD
mg04           173      LEBENSSTILUNTERSCHIED: TUERKEN IN BRD
mg05           174      LEBENSSTILUNTERSCHIED: JUDEN IN BRD
mg06           175      LEBENSSTILUNTERSCHIED: POLEN IN BRD
mg07           176      WIE ANGENEHM ALS NACHBAR: ITALIENER
mg08           177      WIE ANGENEHM ALS NACHBAR: AUSSIEDLER
mg09           178      WIE ANGENEHM ALS NACHBAR: ASYLBEWERBER
mg10           179      WIE ANGENEHM ALS NACHBAR: TUERKE
mg11           180      WIE ANGENEHM ALS NACHBAR: JUDE
mg12           181      WIE ANGENHEM ALS NACHBAR: POLE
mg13           182      EINHEIRAT IN EIGENE FAMILIE: ITALIENER
mg14           183      EINHEIRAT IN EIGENE FAMILIE: AUSSIEDLER
mg15           184      EINHEIRAT IN EIGENE FAMILIE:ASYLBEWERBER
mg16           185      EINHEIRAT IN EIGENE FAMILIE: TUERKE
mg17           186      EINHEIRAT IN EIGENE FAMILIE: JUDE
mg18           187      EINHEIRAT IN EIGENE FAMILIE: POLE
mg19           188      RECHTSGLEICHSTELLUNG FUER: ITALIENER
mg20           189      RECHTSGLEICHSTELLUNG FUER: AUSSIEDLER
mg21           190      RECHTSGLEICHSTELLUNG FUER: ASYLBEWERBER
mg22           191      RECHTSGLEICHSTELLUNG FUER: TUERKEN
mg23           192      RECHTSGLEICHSTELLUNG FUER: JUDEN
mg24           193      RECHTSGLEICHSTELLUNG FUER: POLEN
me01           194      ASYLBEWERBER: TUN MIR LEID
me02           195      ASYLBEWERBER: REGEN MICH AUF
me03           196      ASYLBEWERBER: SIND MIR SYMPATHISCH
me04           197      ASYLBEWERBER: MACHEN MIR ANGST
me05           198      TUERKEN: TUN MIR LEID
me06           199      TUERKEN: REGEN MICH AUF
me07           200      TUERKEN: SIND MIR SYMPATHISCH
me08           201      TUERKEN: MACHEN MIR ANGST
me09           202      ITALIENER: TUN MIR LEID
me10           203      ITALIENER: REGEN MICH AUF
me11           204      ITALIENER: SIND MIR SYMPATHISCH
me12           205      ITALIENER: MACHEN MIR ANGST
me13           206      AUSSIEDLER: TUN MIR LEID
me14           207      AUSSIEDLER: REGEN MICH AUF
me15           208      AUSSIEDLER: SIND MIR SYMPATHISCH
me16           209      AUSSIEDLER: MACHEN MIR ANGST
me17           210      JUDEN: TUN MIR LEID
me18           211      JUDEN: REGEN MICH AUF
me19           212      JUDEN: SIND MIR SYMPATHISCH
me20           213      JUDEN: MACHEN MIR ANGST
me21           214      POLEN: TUN MIR LEID
me22           215      POLEN: REGEN MICH AUF
me23           216      POLEN: SIND MIR SYMPATHISCH
me24           217      POLEN: MACHEN MIR ANGST
mj01           218      JUDEN HABEN AUF DER WELT ZUVIEL EINFLUSS
mj02           219      SCHAM UEBER DEUTSCHE UNTATEN AN JUDEN
mj03           220      JUDEN NUTZEN DEUTSCHE VERGANGENHEIT AUS
mj04           221      JUDEN AN VERFOLGUNGEN NICHT UNSCHULDIG
mj05           222      JUDEN: ABLEHNUNG WEGEN POLITIK ISRAELS
mj06           223      UNGERECHT, DASS ISRAEL LAND WEGNIMMT
mm01           224      ISLAMAUSUEBUNG IN BRD BESCHRAENKEN
mm02           225      ISLAM PASST IN DIE DEUTSCHE GESELLSCHAFT
mm03           226      ANWESENHEIT VON MUSLIMEN BRINGT KONFLIKT
mm04           227      STAAT SOLLTE ISLAM. GRUPPEN BEOBACHTEN
mm05           228      MUSLIMISCHER BUERGERMEISTER IN ORDNUNG
mm06           229      UNTER MUSLIMEN SIND VIELE REL. FANATIKER
lt01           230      KONTAKT ZU NICHT DEUT. ANGEH. IM AUSLAND
lt02           231      NICHT DEUT. ANGEHOERIGE,WIE OFT KONTAKT?
lt03           232      KONTAKT ZU DEUT. ANGEHOERIGEN IM AUSLAND
lt04           233      DEUT. ANGEH. IM AUSLAND,WIE OFT KONTAKT?
lt05           234      KONTAKT ZU N. DEUT. FREUNDEN IM AUSLAND
lt06           235      NICHT DEUTSCHE FREUNDE, WIE OFT KONTAKT?
lt07           236      KONTAKT ZU DEUTSCHEN FREUNDEN IM AUSLAND
lt08           237      DEUT. FREUNDE IM AUSL., WIE OFT KONTAKT?
lt09           238      KONTAKT AUSLAND: NENNUNG 1 <STAGEBSYS>
lt10           239      KONTAKT AUSLAND: NENNUNG 2 <STAGEBSYS>
lt11           240      KONTAKT AUSLAND: NENNUNG 3 <STAGEBSYS>
lt12           241      KONTAKT AUSLAND: NENNUNG 4 <STAGEBSYS>
lt13           242      KONTAKT AUSLAND: NENNUNG 5 <STAGEBSYS>
lt14           243      KONTAKT AUSLAND: NENNUNG 6 <STAGEBSYS>
lt15           244      ANZAHL LAENDER,IN DIE BEFR. KONTAKT HAT
lt16           245      LESEN SIE FREMDSPRACH.ZEITUNGEN,BUECHER?
lt17           246      WIE OFT FREMDSPRACH. ZEITUNGEN,BUECHER?
lt18           247      SCHAUEN SIE FREMDSPRACHIGE FILME, TV?
lt19           248      WIE OFT FREMDSPRACHIGE FILME UND TV?
lt20           249      LETZTE 12 MONATE: AUSLANDSAUFENTHALT?
lt21           250      LETZTE 12 MONATE: WIE OFT IM AUSLAND?
lt22           251      LAENGER ALS 3 MONATE IM AUSLAND GELEBT?
lt23           252      IM AUSLAND GELEBT: DAUER IN MONATEN
lt23c          253      IM AUSLAND GELEBT: DAUER, KATEGORISIERT
educ           254      ALLGEMEINER SCHULABSCHLUSS
de06           255      BEFR.: BERUFLICH-BETRIEBL. ANLERNZEIT
de07           256      BEFR.: TEILFACHARBEITERABSCHLUSS
de08           257      BEFR.: GEWERBLICHE, LANDWIRTSCH. LEHRE
de09           258      BEFR.: KAUFMAENNISCHE LEHRE
de10           259      BEFR.: BERUFL. PRAKTIKUM, VOLONTARIAT
de12           260      BEFR.: BERUFSFACHSCHULABSCHLUSS
de11           261      BEFR.: FACHSCHULABSCHLUSS
de13           262      BEFR.: MEISTER, TECHNIKERABSCHLUSS
de14           263      BEFR.: FACHHOCHSCHULABSCHLUSS
de15           264      BEFR.: HOCHSCHULABSCHLUSS
de16           265      BEFR.:ANDERER BERUFSAUSBILDUNGSABSCHLUSS
de05           266      BEFR.: KEIN BERUFL. AUSBILDUNGSABSCHLUSS
de17           267      BEFR.: ART DES FH-ABSCHLUSSES
de18           268      BEFR.: ART DES UNI-ABSCHLUSSES
isced97        269      BEFR.: ISCED 1997 - 6 STUFEN
isced11        270      BEFR.: ISCED 2011
work           271      BEFRAGTE<R> BERUFSTAETIG?
dw01           272      BEFR.: JETZIGE BERUFLICHE STELLUNG
dw02           273      BEFR.: JETZIGE BERUFL.STELLUNG,KENNZIFF.
isco88         274      BEFR.: JETZIGER BERUF; ISCO 1988
siops88        275      BEFR.: JETZIGER BERUF; SIOPS I88
isei88         276      BEFR.: ISEI NACH GANZEBOOM I88
isco08         277      BEFR.: JETZIGER BERUF; ISCO 2008
siops08        278      BEFR.: JETZIGER BERUF; SIOPS I08
isei08         279      BEFR.: ISEI NACH GANZEBOOM I08
dw07           280      IM OEFFENTLICHEN DIENST TAETIG?
dw08           281      BEFRISTETES ARBEITSVERHAELTNIS?
dw15           282      BEFRAGTER: ARBEITSSTUNDEN PRO WOCHE
dw10           283      BERUFLICHE AUFSICHTSFUNKTION, BEFR.?
dw16           284      FURCHT: STELLUNGSVERLUST, ARBEITNEHMER
dw17           285      FURCHT: BETRIEBSVERLUST, SELBSTAENDIGE
dw18           286      BERUFST.: ARBEITSLOS I.D. LETZTEN 10 J.?
dw19           287      DAUER DER ARBEITSLOSIGKEIT IN WOCHEN
dw19c          288      DAUER DER ARBEITSLOSIGKEIT, KATEGORIS.
dw38           289      ERWERBSTAETIGKEIT NEBEN DEM HAUPTBERUF
dw40           290      ARBEITSSTUNDEN PRO WOCHE,ZWEITTAETIGKEIT
dw37           291      BEFR.:NEBENERWERB; ARBEITSSTD. PRO WOCHE
dw03           292      BEFR.: STATUS DER NICHTERWERBSTAETIGKEIT
dw12           293      BEFR.: BIS WANN BERUFSTAETIG GEWESEN?
dw12a          294      BEFR.: ALTER BEI AUFGABE DES BERUFS
dw12b          295      BEFR.: JAHRE SEIT AUFGABE DES BERUFS
dw01a          296      BEFR.: LETZTE BERUFLICHE STELLUNG
dw02a          297      BEFR.: LETZTE BERUFL.STELL., KENNZIFFER
isco88a        298      BEFR.: LETZTER BERUF; ISCO 1988
siops88a       299      BEFR.: LETZTER BERUF; SIOPS I88
isei88a        300      BEFR.: ISEI GANZEBOOM, LETZTER BERUF I88
isco08a        301      BEFR.: LETZTER BERUF; ISCO 2008
siops08a       302      BEFR.: LETZTER BERUF; SIOPS I08
isei08a        303      BEFR.: ISEI GANZEBOOM, LETZTER BERUF I08
dw20           304      NICHTBERUFST.:EHEDEM ARBEITSLOS GEWESEN?
dw22           305      ARBEITSLOS:EHEDEM ARBEITSLOS GEWESEN?
dw23           306      DAUER <EHEMALIGER> ARBEITSLOSIGKEIT
dw23c          307      DAUER <EHEMALIGER> ARBEITSLOSIGKEIT,KAT.
hs01           308      GESUNDHEITSZUSTAND BEFR.
mstat          309      FAMILIENSTAND, BEFRAGTE<R>
scmborn        310      GEGENWAERTIGER EHEPARTNER: GEBURTSMONAT
scyborn        311      GEGENWAERTIGER EHEPARTNER: GEBURTSJAHR
scage          312      GEGENWAERTIGER EHEPARTNER: ALTER
scagec         313      GEGENWAERTIGER EHEPARTNER: ALTER, KAT.
scdn03a        314      EHEP.: STAATSBUERGERSCHAFT 1 <STAGEBSYS>
scdn04a        315      EHEP.: STAATSBUERGERSCHAFT 2 <STAGEBSYS>
scdn05a        316      EHEP.: STAATSBUERGERSCHAFT 3 <STAGEBSYS>
scdn06         317      EHEP.: VON GEBURT AN DEUTSCH?
scdn07         318      EHEP.:URSPR.STAATSBUERGERSCH.<STAGEBSYS>
sceduc         319      GEGENW.EHEP.: ALLGEMEIN.SCHULABSCHLUSS
scde06         320      GEGENW.EHEP.: BERUFL.-BETR. ANLERNZEIT
scde07         321      GEGENW.EHEP.: TEILFACHARBEITERABSCHLUSS
scde08         322      GEGENW.EHEP.: GEWERBL.-,LANDWIRT. LEHRE
scde09         323      GEGENW.EHEP.: KAUFMAENNISCHE LEHRE
scde10         324      GEGENW.EHEP.: BERUFL.PRAKTIKUM, VOLONT.
scde12         325      GEGENW.EHEP.: BERUFSFACHSCHULABSCHLUSS
scde11         326      GEGENW.EHEP.: FACHSCHULABSCHLUSS
scde13         327      GEGENW.EHEP.: MEISTER-,TECHNIKERABSCHL.
scde14         328      GEGENW.EHEP.: FACHHOCHSCHULABSCHLUSS
scde15         329      GEGENW.EHEP.: HOCHSCHULABSCHLUSS
scde16         330      GEGENW.EHEP.: ANDERER BERUFL.ABSCHLUSS
scde05         331      GEGENW.EHEP.: KEIN BERUFL.ABSCHLUSS
scde17         332      GEGENW.EHEP.: ART DES FH-ABSCHLUSSES
scde18         333      GEGENW.EHEP.: ART DES UNI-ABSCHLUSSES
sciscd97       334      GEGENW.EHEP.: ISCED 1997 - 6 STUFEN
sciscd11       335      GEGENW.EHEP.: ISCED 2011
scwork         336      GEGENWAERTIGER EHEP. BERUFSTAETIG?
scdw01         337      GEGENW.EHEP.: JETZIGE BERUFL. STELLUNG
scdw02         338      GEGENW.EHEP.: JETZIGE BERUFL.STELLUNG,KZ
scisco88       339      GEGENW.EHEP.: JETZIGER BERUF; ISCO 1988
scsiop88       340      GEGENW.EHEP.: SIOPS I88
scisei88       341      GEGENW.EHEP.: ISEI NACH GANZEBOOM I88
scisco08       342      GEGENW.EHEP.: JETZIGER BERUF; ISCO 2008
scsiop08       343      GEGENW.EHEP.: SIOPS I08
scisei08       344      GEGENW.EHEP.: ISEI NACH GANZEBOOM I08
scdw03         345      EHEP.: STATUS DER NICHTERWERBSTAETIGKEIT
dp01           346      HABEN SIE EINEN FESTEN LEBENSPARTNER?
dp02           347      LEBENSPARTNER: GEMEINSAMER HAUSHALT?
pmborn         348      LEBENSPARTNER: GEBURTSMONAT
pyborn         349      LEBENSPARTNER: GEBURTSJAHR
page           350      LEBENSPARTNER: ALTER
pagec          351      LEBENSPARTNER: ALTER, KAT.
pdn03a         352      LEBENSP.: STAATSBUERGERSCH.1 <STAGEBSYS>
pdn04a         353      LEBENSP.: STAATSBUERGERSCH.2 <STAGEBSYS>
pdn05a         354      LEBENSP.: STAATSBUERGERSCH.3 <STAGEBSYS>
pdn06          355      LEBENSPARTNER: VON GEBURT AN DEUTSCH?
pdn07          356      LEBENSP.:URSPR.STAATSBUERGER.<STAGEBSYS>
peduc          357      LEBENSPARTNER: ALLG.SCHULABSCHLUSS
pde06          358      LEBENSPARTNER: BERUFL.-BETR. ANLERNZEIT
pde07          359      LEBENSPARTNER: TEILFACHARBEITERABSCHLUSS
pde08          360      LEBENSPARTNER: GEWERB.-,LANDWIRT. LEHRE
pde09          361      LEBENSPARTNER: KAUFMAENNISCHE LEHRE
pde10          362      LEBENSPARTNER: BERUFL.PRAKTIKUM, VOLONT.
pde12          363      LEBENSPARTNER: BERUFSFACHSCHULABSCHLUSS
pde11          364      LEBENSPARTNER: FACHSCHULABSCHLUSS
pde13          365      LEBENSPARTNER: MEISTER-,TECHNIKERABSCHL.
pde14          366      LEBENSPARTNER: FACHHOCHSCHULABSCHLUSS
pde15          367      LEBENSPARTNER: HOCHSCHULABSCHLUSS
pde16          368      LEBENSPARTNER: ANDERER BERUFL.ABSCHLUSS
pde05          369      LEBENSPARTNER: KEINEN BERUFL. ABSCHLUSS
pde17          370      LEBENSPARTNER: ART DES FH-ABSCHLUSSES
pde18          371      LEBENSPARTNER: ART DES UNI-ABSCHLUSSES
pisced97       372      LEBENSPARTNER: ISCED 1997 - 6 STUFEN
pisced11       373      LEBENSPARTNER: ISCED 2011
pwork          374      LEBENSPARTNER: BERUFSTAETIG?
pdw01          375      LEBENSPARTNER: JETZIGE BERUFL.STELLUNG
pdw02          376      LEBENSP.:JETZIGE BERUFL.STELL.KENNZIFFER
pisco88        377      LEBENSPARTNER: JETZIGER BERUF; ISCO 1988
psiops88       378      LEBENSPARTNER: SIOPS I88
pisei88        379      LEBENSPARTNER: ISEI NACH GANZEBOOM I88
pisco08        380      LEBENSPARTNER: JETZIGER BERUF; ISCO 2008
psiops08       381      LEBENSPARTNER: SIOPS I08
pisei08        382      LEBENSPARTNER: ISEI NACH GANZEBOOM I08
pdw03          383      LEBENSP: STATUS D.NICHTERWERBSTAETIGKEIT
fdm01a         384      HERKUNFTSLAND: VATER <STAGEBSYS>
gfpdm01        385      HERKUNFTSLAND: GROSSVATER-V <STAGEBSYS>
gmpdm01        386      HERKUNFTSLAND: GROSSMUTTER-V<STAGEBSYS>
mdm01a         387      HERKUNFTSLAND: MUTTER <STAGEBSYS>
gfmdm01        388      HERKUNFTSLAND: GROSSVATER-M <STAGEBSYS>
gmmdm01        389      HERKUNFTSLAND: GROSSMUTTER-M<STAGEBSYS>
df44           390      ELTERN: DAMALS MIT BEFR. ZUSAMMENGELEBT
fdw01          391      VATER: BERUFLICHE STELLUNG
fdw02          392      VATER: BERUFLICHE STELLUNG, KENNZIFFER
fisco88        393      VATER: BERUF; ISCO 1988
fsiops88       394      VATER: SIOPS I88
fisei88        395      VATER: ISEI NACH GANZEBOOM I88
fisco08        396      VATER: BERUF; ISCO 2008
fsiops08       397      VATER: SIOPS I08
fisei08        398      VATER: ISEI NACH GANZEBOOM I08
mdw01          399      MUTTER: BERUFLICHE STELLUNG
mdw02          400      MUTTER: BERUFLICHE STELLUNG, KENNZIFFER
misco88        401      MUTTER: BERUF, DAMALS; ISCO 1988
msiops88       402      MUTTER: SIOPS I88
misei88        403      MUTTER: ISEI NACH GANZEBOOM I88
misco08        404      MUTTER: BERUF, DAMALS; ISCO 2008
